Paragraph Number,Content
1,—----------------------------------------- Include in Syllabus  —-----------------------------------------
3,Lecture Schedule: Monday 6.00 - 6.50 pm
4,Weekly Meeting: Saturday 4pm - 5pm
6,Fall semester start date: 22nd September
7,Fall end: 24th November
9,Come WANG 2599 by 5:30pm.
11,Homework released: Mondays 8am (schedule it on Saturdays)
12,Homework is due: Monday 11.59pm
14,Office Hours:
15,Mugdha: Wed 5-6pm
16,Pranav: Tues 5-6pm
17,Garv: Thur 5-6pm
18,Adi: Friday 5-6pm
19,Shivam: 7-8pm
21,Saturday Weekly Meeting:
22,See the presentation
23,Make sure we have completed the next week homework
24,Schedule the next weeks homework on brightspace
25,Schedule the assignment
26,Fall break: 13-14th October
27,Thanksgiving Break: 26th - 29th November
30,"Midterm Schedule (contains all classes w/ midterms, use CTRL-F and type your course number):"
32,Todo:
33,Come up with proposals for each lecture.
34,Figure out how to onboard new TAs
35,Figure out how to make BoilerBlockChain a club
36,Mention your exam dates
40,—----------------------------------------- Weekly Meeting Notes —-----------------------------------------
41,"Weekly Meeting - August 25th, 2025:"
42,Thoughts on SpeedRun:
43,"We take the classes, but we can use their curriculum."
44,We should use their challenges.
45,Even a walkthrough could be good enough.
46,Finalised the Course Dates
47,Fall semester: 22nd September
48,Fall end: 24th November
49,Todos:
50,Come up with proposals for each lecture.
51,Figure out how to onboard new TAs
52,Figure out how to make BoilerBlockChain a club
53,Mention your exam dates
54,Meeting:
55,Staking Quest
56,How can we verify the student has completed the quest ?
57,Turn in their speed run profiles.
58,Do we have any sessions ?
59,"He does a lot of virtual sessions. However, normally it is async"
60,We want to share our schedule with them.
61,"POW mining, research is run through on POW, but if we want to be on the frontier, we need to build on blockchain - the world no longer needs protocol people"
63,—----------------------------------------- Weekly Meeting Notes —-----------------------------------------
64,"Weekly Meeting - September 2nd, 2025:"
66,Agenda:
67,Finalise the Schedule
68,Finalise who is giving which lecture
69,Discuss Homework
70,Get started with the flyers
71,"1) Finalise the time for the course, message the person responsible for WANG"
72,Shoutouts:
73,TODOs:
74,Onboard the new TAs:
75,Create a when2Meet for the weekly meeting - Saturday 4pm to 5pm
76,Write Homework Preference
77,Advertise: Create a flyer + Put it up on CS newsletter + Instagram DM + Post
78,One of us needs to contact Mahi for the ig post
79,Meeting Notes:
80,We are supposed to do the homework a week before we release it.
81,Zero to Hero React:
82,"We need to make a GitHub, and make everyone do the same project."
83,Guest Lecture Topic:
84,Talk to him about what to do
87,—----------------------------------------- Weekly Meeting Notes —-----------------------------------------
88,"Weekly Meeting - September 6th, 2025:"
